npsn,nama_sekolah,alamat,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
6.9728746E7,SD Bangun Mandiri,Jl. H. Mursid No. 16,Pasar Minggu,,15.0,RITA AMALIANI,(021) 7271788,Baik,Tidak Terakreditasi
1.0,SD Bina Bangsa,Jl. Tanjung Pura V,Kalideres,,10.0,"Sopiah Watil Hayat, S.Psi",(021) 54396155,Baik,Tidak Terakreditasi
2.0109443E7,SD Bina Tunas Bangsa,Jl. Pluit Timur Blok MM,Penjaringan,,33.0,"S.WILLIANA K, M.Pd",(021) 30031300,Baik,A
2.0112485E7,SD Gemala Ananda,Jl. Lebak Bulus III No. 93G,Cilandak,210.0,17.0,Jasmin Jasin,(021) 75908596,Baik,A
2.0109914E7,SD Islam An Najah,Jl. SMAN 64,Cipayung,147.0,10.0,Ramdhani rahmat,(021) 84302039,Baik,B
2.0106322E7,SD ISLAM TAMAN QURANIYAH,Jl. Melati No. 100,Jagakarsa,145.0,7.0,Hj. NAPISAH MUHAMMAD,(021) 7822804,Baik,B
2.0177801E7,SD Islam Tunas Mandiri,Jl. Tanjung Barat Raya No. 1,Jagakarsa,143.0,15.0,"H. Ali Zaini, M.Pd.I",(021) 78841154,Baik,Tidak Terakreditasi
2.0110202E7,SD IT Daarun Na'iim,Jl. Semanan Raya No. 27,Kalideres,162.0,16.0,Dra. Mardianah,(021) 5402113,Baik,A
2.0109404E7,SD IT Insan Mulia,Jl. Metro Jaya No. 47,Pulo Gadung,,7.0,Santi Librayanti Oktadriani S.,(021) 47867702,Baik,Tidak Terakreditasi
2.010944E7,SD IT QATRUNNADA,Jl. Cempaka Baru I No. 11,Kemayoran,86.0,10.0,Dodi Nurhadi,,Baik,
2.0109251E7,SD JAC,Jl. Kelapa Nias Raya Blok QB-2 No. 1,Kelapa Gading,101.0,13.0,Agus Triyono,(021) 4528990,Baik,Tidak Terakreditasi
2.0109435E7,SD Jakarta Montessori,Jl. Durian No. 10,Jagakarsa,36.0,5.0,"Carol Engmann, M.Ed.,BSc.(Hons",(021) 7272162,Baik,Tidak Terakreditasi
6.9767781E7,SD JUARA,Jl. Jend. Sudirman Senayan Gedung E Lt. 1,Pasar Minggu,,10.0,,,Baik,
6.9752179E7,SD Juara,"Jl. B, Rawa Badung",Cakung,,12.0,"Rahmat Ilahi, S.Pd.I",(021) 46823218,Baik,Tidak Terakreditasi
6.9766212E7,SD KASIH ANUGERAH,Jl. Mushollah Blok B-3 No. 5,Kalideres,,13.0,"SANTY, S.PDK",,Baik,Tidak Terakreditasi
NP64648,SD Kasih Bagi Bangsa,Jl. Bangun Nusa Raya Blok H No. 1B,Cengkareng,,14.0,Harjoko Teguh Prasetyo,(021) 5453989,Baik,Tidak Terakreditasi
2.0109629E7,SD Khusus Al-Rahmah,Jl. Kampung Sawah Blok B,Cilincing,523.0,15.0,ARI AGUNG PURWANTO,(021) 44835027,Padat/Kumuh,B
2.0109315E7,SD Khusus Darut Tauhid,Jl. Raya Cacing Kp. Bedeng Malaka II,Cilincing,325.0,12.0,"DARTI , S.Pd",(021) 44830451,Padat/Kumuh,B
6.9755701E7,SD Khusus Insan Harapan,Jl. Kayu Besar,Cengkareng,,10.0,ROHAYATI,(021) 5555927,Baik,Tidak Terakreditasi
2.0109372E7,SD Khusus IT Yuda Patria,Jl. Marunda Baru III No. 1 RT8/RW6,Cilincing,77.0,9.0,"Sy. Mochamad Ulil Absor,S.Sos.",(021) 95384553,Baik,B
2.0177882E7,SD Kristen Calvin Jakarta,Komp. Kemayoran Blok B-14 No. 1,Kemayoran,192.0,26.0,"Rame Manurung, M.A.",(021) 65867812,Baik,A
2.0105712E7,SD Kristen Kasih Karunia,Taman Palem Lestari Blok F-6 No. 21-23,Cengkareng,433.0,21.0,"MAYA FELICYA S, SE",(021) 55956640,Baik,A
2.0109938E7,SD Kristen Penabur,Boulevard Bukit Gading Raya Blok A5-A8,Kelapa Gading,470.0,42.0,"Dra. Minar Hotmauli Pakpahan,",(021) 45840601,Baik,A
2.0109384E7,SD Marie Joseph,"Puspa Gading I Blok H-2 No. 4-6-8-10, Jakarta Utara",Kelapa Gading,422.0,22.0,"Dominika, S.Ag (Sr.Maria Elisa",(021) 4517735,Baik,A
2.0112515E7,SD Muhammadiyah 09 Plus,Jl. SMAN 71 No. 18,Duren Sawit,154.0,20.0,"Shahibah Yuliani, S.Sos.,M.Pd",(021) 97959514,Baik,Tidak Terakreditasi
2.0109497E7,SD NATIONALHIGH JAKARTA SCHOOL,Jl. Raya Pos Pengumben No. 41,Kembangan,328.0,17.0,"M. Rizki Reza, S.Ag.",(021) 58902962,Baik,A
6.9874085E7,SD Pelita Harapan,Jl. Pangeran Anatsari No. 36,Mampang Prapatan,,15.0,Rosma Indriana Purba,(021) 29056789,Baik,Tidak Terakreditasi
2.0121003E7,SD Singapore School Kelapa Gading,Jl. Pegangsaan Dua No. 83,Kelapa Gading,255.0,1.0,hutauming t,(021) 4608888,Baik,A
6.9753896E7,SD Tzu Chi,"Tzu Chi Center, Jl. Pantai Indah Kapuk Boulevard",Penjaringan,,52.0,Caroline Widjanarko,(021) 50556668,Baik,Tidak Terakreditasi
2.0109408E7,SD Westin,"Teluk Gong, Jl. G No. 408",Penjaringan,265.0,15.0,"Elfindah Princes,S.Kom",(021) 6600705,Baik,B
2.0103086E7,SDI Al Achfas Dwi Matra,Jl. Jaha No. 30B,Pasar Minggu,391.0,24.0,"Drs.H.Muhammad Sholeh, MSi.",(021) 7803892,Baik,A
2.0103098E7,SDI Al Azhar Syuhada,Jl. Jagakarsa Raya No. 38,Jagakarsa,180.0,13.0,"DRS. H. NUR CHOLIS,M.PD",(021) 7873361,Baik,B
2.0105806E7,SDI Al Azkar,Jl. Karang Tengah Raya 30A,Cilandak,246.0,34.0,"ZULKIFLI MALIK, S.Pd.",(021) 7696903,Baik,A
2.0105807E7,SDI Al Barkah,Jl. Karang Tengah Raya No. 10,Cilandak,171.0,10.0,"AHMAD MUNTHO'I, S.Pd.I",(021) 75910612,Baik,A
2.0105808E7,SDI Al Hasaniah,Jl. Margasatwa,Cilandak,341.0,17.0,"PEPEN EFENDI, S.Ag",(021) 75911774,Baik,A
2.0103049E7,SDI Al Jabr Islamic School,Jl. Bango II No. 34,Cilandak,,21.0,"KARTIKA DESY WARDANI,S.SOS",(021) 75913675,Baik,Tidak Terakreditasi
2.0105805E7,SDI Al-Amjad,Jl. Damai V No. 14,Kebayoran Baru,251.0,15.0,"Hj. Siti Nurlaelah, S.Ag",(021) 7243484,Baik,A
2.0106243E7,SDI Al-Hikmah,Jl. Kemajuan No. 48-55,Pesanggrahan,,18.0,"Iis Dianti, S.Ag",(021) 73883707,Padat/Kumuh,A
